feature_1,feature_2,feature_3,feature_4,feature_5,label
99,13,39,15,29,2
29,75,32,2,47,3
78,84,22,75,27,3
67,81,56,92,93,4
21,47,80,59,84,3
6,19,57,69,3,0
1,58,38,15,34,0
61,35,64,25,24,1
12,18,15,80,27,3
72,60,46,89,17,1
93,53,8,79,27,2
46,50,71,3,93,0
64,44,53,24,60,2
3,20,46,15,25,4
94,78,71,17,84,0
100,9,38,48,60,2
63,86,2,88,72,4
11,64,77,81,72,2
21,18,94,64,82,4
95,38,32,11,45,4
89,33,41,8,11,0
86,51,88,41,17,1
76,46,32,79,80,4
54,86,92,20,33,4
74,40,32,97,2,0
97,33,77,30,33,1
77,26,22,66,38,3
90,46,15,98,44,3
49,75,61,67,6,1
9,6,73,95,32,2
41,76,8,72,50,0
92,62,84,62,7,1
75,84,80,4,6,3
58,22,26,3,41,4
60,14,75,82,12,3
87,12,13,25,45,4
19,55,100,45,8,0
93,53,55,32,51,4
44,82,70,18,83,1
22,37,96,56,59,4
3,28,74,35,61,2
93,54,63,79,97,1
7,76,49,94,85,0
31,58,61,24,20,1
37,4,92,20,60,2
24,50,49,51,96,0
36,98,100,66,79,3
34,36,6,39,42,2
58,12,3,18,40,0
21,15,97,99,26,4
8,100,94,87,42,1
44,14,78,2,37,0
69,38,41,62,60,1
14,89,84,2,70,4
17,89,28,66,35,0
5,65,40,76,56,3
36,45,23,47,31,2
11,10,67,14,80,0
74,93,10,76,94,4
1,5,20,8,43,0
76,1,57,64,84,1
28,37,47,76,37,0
49,44,56,28,79,3
6,61,20,78,2,0
73,37,20,26,29,2
1,35,70,59,69,0
33,51,78,12,20,1
53,88,43,98,89,0
50,29,57,39,95,3
56,43,50,23,44,4
38,84,23,45,52,0
80,50,8,85,1,0
8,29,96,5,86,2
47,34,65,55,90,3
43,74,30,82,17,4
26,8,47,76,91,1
72,89,46,68,33,0
1,19,31,80,14,4
53,48,69,90,62,1
92,66,64,70,63,3
73,33,41,89,48,3
13,73,77,31,75,4
68,98,4,19,70,1
98,82,13,23,83,3
75,1,88,54,71,4
89,85,15,65,76,3
71,15,21,19,60,3
93,89,33,49,96,3
35,44,90,11,99,2
72,78,74,66,46,1
9,3,85,26,72,4
48,66,70,28,93,4
26,25,12,5,98,1
48,37,79,44,100,1
15,43,48,87,70,1
46,43,21,23,80,1
47,15,25,36,75,0
51,15,68,21,13,4
86,19,34,78,68,0
52,27,29,28,35,3
8,16,36,30,18,3
2,49,77,4,90,4
89,94,75,7,95,3
74,39,13,31,71,1
63,56,42,61,42,0
56,36,84,68,7,1
54,1,44,45,47,3
13,22,21,86,92,0
9,26,9,15,10,1
88,42,72,24,80,4
49,26,91,37,68,1
50,24,19,100,60,3
39,74,89,18,19,0
36,74,97,55,69,4
47,49,99,98,33,0
21,81,22,48,37,4
15,35,92,71,32,0
11,10,73,78,77,3
57,25,2,64,35,4
7,85,18,67,42,2
39,41,75,24,60,0
46,19,68,90,42,0
32,39,36,97,36,1
3,73,8,97,70,4
41,68,13,49,60,2
2,60,5,44,27,3
32,21,8,72,50,1
67,44,58,3,86,2
70,2,87,44,2,4
81,35,98,87,30,2
8,22,44,58,36,0
69,77,93,31,47,0
55,80,62,30,55,1
16,12,17,16,12,4
8,84,3,16,30,4
23,92,5,84,65,2
30,21,84,70,22,1
82,72,32,33,16,4
76,38,98,14,36,0
97,23,66,85,2,2
91,73,65,75,67,3
52,62,23,26,68,0
82,55,6,35,22,1
43,15,86,60,12,4
49,42,38,82,45,0
35,30,88,30,78,3
6,67,80,7,52,3
14,73,15,21,35,1
66,91,2,35,82,0
78,20,82,10,25,2
66,25,54,33,36,0
95,14,65,80,54,3
52,3,99,41,6,1
25,13,98,8,21,1
98,68,25,79,68,2
45,60,12,32,96,1
92,13,31,78,20,1
18,93,60,63,6,1
32,93,43,2,60,1
23,83,31,5,83,1
34,10,89,2,11,3
50,31,56,79,73,0
87,83,9,99,21,4
73,28,62,7,80,1
16,97,4,4,40,4
17,52,93,52,36,4
38,50,63,63,62,3
99,7,27,92,86,1
14,71,86,5,55,4
2,62,91,21,79,1
21,10,87,58,39,2
5,65,13,85,90,2
85,53,82,45,32,2
36,81,99,60,11,4
63,21,52,55,26,2
68,34,52,82,99,3
93,52,29,38,42,3
21,42,13,64,17,4
9,41,1,2,60,1
48,29,97,10,58,0
60,21,28,75,34,1
8,59,86,72,49,1
79,17,60,87,88,1
45,83,69,32,44,1
65,87,8,77,72,0
87,43,1,51,24,2
99,24,17,5,20,1
21,58,31,100,11,3
52,15,83,7,28,4
51,58,5,5,94,4
96,8,64,10,38,3
96,92,81,95,8,1
25,73,66,79,50,0
67,49,36,68,78,2
41,89,62,10,21,4
36,12,91,2,13,2
53,32,95,16,32,0
32,98,11,10,15,4
17,40,18,55,73,2
25,59,78,89,22,0
30,84,85,44,32,2
51,46,21,99,32,1
94,39,12,47,18,0
21,13,21,8,46,2
7,23,96,75,86,1
22,89,22,92,29,1
13,82,2,29,85,0
79,52,27,50,95,3
79,23,88,44,77,4
22,43,37,61,97,0
56,3,63,19,23,1
29,30,39,25,8,1
58,16,72,1,5,0
3,65,4,99,96,3
64,98,89,10,21,4
46,91,27,66,41,2
13,9,36,86,90,0
58,54,12,81,78,4
14,34,53,20,75,4
16,95,70,56,83,1
58,4,4,20,10,2
24,99,26,37,85,0
54,21,74,38,46,1
4,60,57,45,20,1
17,71,4,93,14,3
3,88,80,58,55,4
4,24,34,30,82,0
19,31,60,60,19,0
49,63,83,22,24,0
76,30,58,31,100,1
64,19,48,45,100,3
94,55,55,97,18,2
63,92,47,75,57,1
45,33,17,70,4,2
20,47,91,15,70,3
47,78,75,9,90,4
16,69,61,10,50,0
3,77,94,70,81,2
51,19,42,35,46,1
26,69,93,64,37,2
84,49,21,74,64,4
5,100,70,90,4,0
39,35,1,24,57,2
100,70,41,54,46,4
60,60,57,31,84,1
24,89,36,85,30,3
24,30,86,92,7,1
35,55,92,14,10,0
80,16,54,95,89,1
77,70,44,73,45,1
100,56,84,82,57,1
21,68,50,33,91,1
7,70,15,82,32,0
75,20,88,15,48,4
71,21,42,26,14,2
57,37,58,21,82,3
69,3,87,90,37,2
88,49,19,89,85,2
12,61,41,33,50,3
68,71,86,33,81,0
24,61,61,98,28,3
58,43,41,39,86,0
49,17,98,70,70,2
98,65,74,85,5,0
2,22,57,66,74,4
98,16,51,39,86,3
76,88,40,38,60,4
59,10,99,64,63,2
49,64,32,7,21,3
20,26,68,86,15,2
85,79,86,92,14,4
27,40,58,28,26,2
63,66,25,3,72,3
44,97,42,99,6,3
39,52,23,89,50,2
43,19,69,51,11,3
12,74,8,24,92,3
41,36,85,72,55,2
9,47,15,48,82,4
42,60,84,70,12,3
2,7,80,3,3,3
27,40,33,92,1,3
8,32,48,4,94,3
70,19,32,9,12,2
11,46,16,1,63,4
21,30,13,34,4,4
28,95,59,27,69,0
25,3,97,68,25,3
20,34,26,5,99,3
61,92,93,9,50,0
6,83,60,44,11,4
66,47,73,85,88,1
98,86,3,76,92,1
30,90,21,28,90,4
62,33,85,35,52,3
34,41,51,47,82,1
58,75,57,23,48,2
22,17,69,11,94,2
15,91,35,33,84,0
16,34,66,99,40,4
28,47,39,70,73,4
20,1,72,87,63,1
67,4,58,25,47,3
38,15,63,21,99,4
57,53,46,14,100,1
76,17,39,9,99,1
77,79,82,97,6,4
91,23,59,91,98,1
46,38,14,100,72,0
62,35,19,30,78,0
84,25,40,88,14,4
26,87,22,48,83,3
51,3,42,19,73,0
28,84,45,71,78,0
63,73,19,47,14,4
38,53,61,36,40,2
81,30,9,64,33,1
52,89,14,75,53,0
99,59,78,94,41,2
68,68,92,8,2,3
86,41,55,16,93,2
62,48,30,12,35,4
11,64,50,85,21,3
69,48,20,67,44,3
33,73,61,9,68,2
35,81,98,88,96,4
65,8,45,87,47,0
40,76,54,76,46,2
47,15,19,26,52,0
93,22,21,51,38,2
20,29,51,4,55,0
71,92,28,4,22,2
76,45,67,86,66,3
88,34,91,55,1,1
72,87,38,6,86,3
25,82,17,61,12,0
6,90,27,8,83,4
65,57,93,99,40,3
14,35,48,84,56,1
49,13,61,49,46,0
62,8,43,20,97,3
90,39,85,49,64,2
62,54,9,88,37,4
49,41,17,88,21,0
51,59,39,55,41,3
39,13,64,11,19,0
11,77,46,45,1,2
40,19,76,72,72,1
61,12,61,33,45,3
90,92,69,8,25,0
91,46,87,30,47,0
87,49,47,84,82,0
18,66,68,94,33,1
36,82,19,28,40,0
84,97,76,15,41,4
39,2,63,29,74,4
66,51,75,77,10,0
14,82,51,73,39,4
28,3,84,70,27,3
2,93,38,3,16,4
94,40,2,81,41,0
12,35,65,55,45,2
79,90,85,62,49,3
95,25,23,24,38,1
28,21,54,18,36,0
99,45,73,53,30,1
60,98,32,67,67,2
28,44,79,41,63,1
23,75,48,32,57,0
100,33,24,39,34,0
56,28,37,7,68,2
37,56,65,65,47,0
20,19,29,74,60,2
18,92,35,43,95,2
91,11,49,38,64,0
69,8,34,48,56,4
76,65,31,4,50,2
69,30,88,59,67,0
75,45,4,26,27,4
46,64,91,51,50,2
6,59,15,30,42,4
37,42,35,87,6,3
68,18,73,29,77,3
59,47,17,96,22,4
68,69,37,49,13,2
34,86,53,87,51,0
3,42,98,32,51,1
85,46,21,44,11,0
68,1,92,63,24,1
99,13,98,11,100,1
51,17,99,82,86,2
24,19,37,85,8,4
28,5,17,36,19,0
64,91,98,11,54,4
45,47,12,21,11,3
92,5,81,56,20,2
41,46,12,70,17,2
19,26,48,52,96,3
70,55,100,75,33,0
62,88,23,15,27,3
75,64,81,51,53,0
78,91,82,92,51,1
47,4,7,35,48,2
73,72,45,81,81,0
97,96,72,19,63,4
38,67,59,69,13,4
47,61,31,80,96,2
22,93,86,43,67,3
54,10,42,64,21,3
80,76,66,41,24,0
35,56,30,57,94,3
47,35,19,8,26,2
71,30,7,67,65,0
36,25,37,1,15,1
37,13,8,5,60,3
73,1,36,35,66,3
63,23,9,34,46,0
78,4,30,95,75,4
99,72,3,14,60,3
77,45,96,34,45,2
61,83,16,66,40,3
17,34,16,60,66,1
66,90,13,56,31,3
34,39,67,8,87,4
78,55,27,93,53,3
39,65,17,30,53,0
13,21,19,53,19,3
57,25,86,31,81,4
55,23,32,62,74,0
10,100,72,54,52,2
20,32,14,50,28,0
53,24,79,22,30,1
63,4,77,59,87,0
8,82,12,31,78,2
34,82,98,75,76,3
49,79,57,95,93,0
26,18,96,86,38,0
81,87,88,50,8,0
41,6,69,44,64,0
29,28,11,65,19,2
9,27,34,44,68,4
100,82,15,51,13,4
83,49,70,56,76,0
51,37,17,58,87,2
90,29,33,60,91,2
89,55,10,47,23,0
85,21,13,33,24,1
11,17,68,47,25,0
94,73,21,84,83,1
83,12,37,42,17,0
48,28,41,99,47,1
18,78,99,71,13,1
82,13,100,31,2,0
16,9,73,38,75,1
54,56,86,97,100,3
87,45,34,9,88,4
8,7,36,18,3,2
28,70,44,21,28,1
54,54,65,100,21,1
99,13,57,49,54,2
10,53,44,47,53,1
74,46,13,37,24,2
2,86,81,100,14,0
10,35,25,3,17,3
12,54,24,29,43,3
25,100,60,90,65,4
84,28,16,47,81,1
92,58,76,27,53,4
42,59,47,94,34,0
37,6,7,96,96,3
25,33,55,58,7,0
57,12,16,80,43,0
100,77,7,100,51,1
73,32,75,8,97,0
87,89,72,45,86,3
59,4,67,29,29,4
98,98,28,77,79,3
87,44,90,4,90,1
9,5,56,96,84,3
50,75,15,32,28,2
22,17,59,90,71,4
57,26,25,10,45,2
83,11,77,53,72,2
68,95,28,75,65,1
49,47,52,88,54,0
60,57,47,31,46,2
26,5,84,52,75,3
54,33,50,38,27,0
98,15,96,61,21,3
46,69,6,38,62,3
86,62,82,78,74,0
46,13,95,94,3,0
94,6,93,8,44,3
33,81,75,77,50,1
11,95,28,70,41,4
16,68,99,48,56,4
64,59,90,62,76,1
11,89,18,19,87,0
55,82,26,6,4,3
29,59,98,17,43,4
80,66,34,8,13,3
8,94,96,100,94,1
65,43,39,81,59,3
84,88,86,93,86,1
44,9,37,74,36,0
92,28,42,43,85,1
88,42,66,55,72,1
48,91,22,27,93,4
67,13,45,10,100,3
9,54,27,34,1,4
32,89,93,71,67,2
84,20,94,35,99,1
91,90,78,17,18,2
45,93,84,53,91,4
82,68,65,1,58,3
26,20,87,10,59,4
75,41,5,65,17,3
22,98,41,93,68,3
69,11,56,51,21,0
99,76,26,19,60,1
71,47,71,26,40,4
5,21,78,4,23,3
84,15,93,8,41,4
19,46,28,91,68,4
15,99,37,1,67,3
24,27,40,63,61,2
36,98,93,24,24,1
4,67,34,57,49,1
87,53,23,69,95,0
53,62,41,57,60,0
54,70,57,10,40,0
7,38,85,61,84,1
3,51,86,47,68,2
92,76,38,36,41,1
69,13,87,58,50,1
30,62,25,27,51,1
78,57,47,100,39,1
16,22,85,54,21,2
72,16,59,31,42,0
74,32,59,34,9,4
81,11,96,10,86,0
17,68,48,52,25,0
21,65,63,89,51,4
36,81,88,66,15,1
96,39,70,1,23,2
39,57,81,34,41,2
93,73,13,70,6,0
84,52,3,81,63,4
49,76,47,55,64,3
65,81,67,90,15,1
100,32,96,68,18,0
83,43,35,78,58,2
33,14,34,61,4,4
88,59,29,83,6,4
97,49,40,83,65,0
69,27,80,6,13,3
64,62,99,19,76,2
80,43,74,89,20,0
95,68,44,23,2,3
22,57,72,7,78,4
56,67,16,83,51,1
82,80,72,97,12,2
53,75,5,27,12,2
17,6,97,5,57,3
28,78,69,59,33,0
62,50,19,86,69,4
66,94,47,39,68,3
33,13,84,54,7,1
79,87,14,87,19,1
54,93,20,29,24,1
82,63,74,57,8,3
90,62,29,74,17,4
66,6,58,69,28,2
62,41,69,82,90,0
84,41,49,91,49,2
76,71,3,10,98,4
89,35,80,2,24,2
74,38,22,26,43,3
55,39,91,29,20,1
91,41,54,20,19,4
84,99,66,30,53,4
34,22,67,6,79,2
27,10,73,97,96,3
48,70,59,100,59,2
2,29,68,65,83,2
26,89,10,53,79,4
59,22,51,48,21,2
22,100,98,30,25,1
28,65,45,68,7,2
49,9,36,83,1,1
10,36,73,46,32,4
32,6,48,38,17,3
74,27,54,50,35,1
85,25,28,15,4,3
93,73,27,26,19,3
92,17,43,41,42,1
50,84,40,39,23,4
96,52,47,63,97,0
69,43,48,34,40,3
75,61,50,67,62,3
58,33,75,16,82,4
94,48,10,82,38,4
19,36,59,63,77,2
46,3,74,65,91,4
8,51,81,73,6,3
89,39,60,28,97,1
54,37,9,82,56,0
59,85,2,61,58,2
60,40,36,37,79,1
92,18,98,63,22,0
11,58,57,77,4,0
86,7,61,54,88,0
68,92,79,1,55,1
3,78,38,1,38,2
85,29,5,74,92,2
21,71,67,47,84,0
83,35,68,69,1,1
68,12,60,27,56,0
23,25,21,61,63,4
52,88,25,55,46,2
32,55,96,5,36,3
49,58,39,80,97,0
85,61,9,6,35,4
39,22,41,5,42,2
87,81,76,87,80,1
67,30,57,86,73,2
29,37,87,13,32,1
46,23,45,17,85,1
66,6,18,94,22,0
33,30,81,32,42,0
78,10,36,34,73,2
28,11,78,39,47,4
19,15,28,24,72,2
9,47,33,62,97,3
19,67,74,40,47,1
65,29,50,98,13,1
1,34,93,48,77,0
48,49,64,61,29,4
39,88,26,17,71,0
13,69,26,49,67,3
7,58,49,53,65,2
62,17,43,25,3,2
79,29,32,26,16,4
25,54,28,73,56,0
65,93,86,80,41,0
51,71,78,29,83,3
19,66,41,45,15,2
3,11,53,46,30,0
57,18,51,48,66,4
96,8,22,6,76,2
57,36,79,92,57,3
49,45,82,66,77,4
45,79,20,64,93,1
93,67,83,3,54,3
78,64,40,59,55,4
62,4,60,75,95,0
96,91,30,2,62,1
49,9,92,31,98,3
61,79,48,25,36,0
8,73,58,45,62,1
39,96,58,81,99,2
83,64,44,29,59,0
71,92,9,92,6,4
29,58,17,16,87,3
95,3,21,64,90,1
36,86,62,42,76,0
42,61,13,11,54,2
16,8,59,57,40,3
59,2,94,94,76,3
10,44,11,79,80,0
81,90,2,50,12,2
90,23,18,62,96,1
62,38,67,38,67,0
94,61,1,94,45,1
96,28,21,13,27,3
100,7,22,74,53,1
79,79,4,96,23,2
70,88,84,84,76,4
33,28,8,1,37,2
63,22,70,21,96,1
35,79,5,60,46,0
50,48,6,89,56,3
59,29,71,77,18,4
2,8,75,97,54,0
38,48,27,20,12,0
43,61,31,91,96,2
61,74,67,91,35,1
95,15,16,13,35,2
75,59,21,54,75,1
30,48,35,86,38,2
31,78,24,49,96,0
100,32,55,79,58,3
99,3,80,69,85,1
10,83,25,68,61,4
29,19,43,66,74,4
61,43,25,20,48,0
83,87,24,11,98,2
55,28,69,63,59,2
5,51,21,12,50,0
4,42,84,38,25,4
14,75,32,11,61,4
18,27,55,54,82,2
87,75,21,44,5,1
87,41,59,89,54,3
74,22,83,65,64,1
71,4,65,15,76,4
22,86,47,81,93,1
46,14,50,20,50,3
33,59,43,79,12,1
40,20,94,38,3,1
28,56,90,94,13,1
77,66,37,49,66,1
36,54,26,75,72,0
40,43,22,20,8,4
29,40,90,30,81,3
84,55,16,46,62,4
7,80,45,59,56,0
48,27,53,87,88,0
73,35,51,84,37,0
81,95,57,8,79,0
95,94,20,53,12,1
49,17,64,42,94,4
29,19,11,98,50,2
71,58,34,20,50,3
88,10,32,52,15,0
84,3,37,40,72,4
40,56,23,11,64,0
8,93,94,56,60,0
10,39,28,49,36,0
13,96,36,26,86,0
4,95,82,64,38,0
88,87,22,2,31,3
11,92,46,96,62,4
69,64,10,40,24,0
99,44,60,62,87,0
17,65,95,95,57,0
55,53,56,98,9,0
22,13,89,48,18,1
76,40,17,15,15,1
79,63,39,13,81,2
32,9,40,20,90,0
91,85,82,77,80,2
73,63,76,44,38,3
83,60,71,99,48,2
18,16,55,39,68,4
59,89,96,62,13,1
81,6,83,77,60,1
90,14,95,54,4,0
39,72,25,77,32,0
59,63,38,92,53,3
94,67,28,3,98,3
80,22,96,38,72,4
72,62,57,6,78,0
32,99,10,3,59,0
76,49,59,31,93,3
69,62,52,89,41,3
31,85,84,22,4,3
13,45,42,49,20,1
77,81,54,36,97,2
1,15,77,17,24,2
58,72,91,23,46,0
72,8,59,90,59,1
13,39,28,89,61,3
16,2,82,17,30,0
13,96,93,94,82,1
13,43,85,94,21,4
55,81,40,83,15,1
73,52,74,95,53,0
87,52,30,33,57,2
52,9,54,1,44,3
99,75,98,80,9,4
32,15,12,97,78,1
57,8,72,27,62,0
12,65,42,62,11,0
43,95,17,97,32,3
93,85,85,40,23,0
56,6,86,50,37,0
64,54,72,49,99,3
11,88,49,21,66,4
63,83,28,17,6,2
19,56,28,66,38,2
37,68,86,90,49,1
43,36,58,13,52,4
58,32,81,100,60,1
